id,user_name,type_sort,mode_sort,len_vector,time_execute,count_compare,count_moves,time_start
5,aline,BubbleSort,Arranjos Ordenados (ASC),1000,0.00021373500000021473,999,0,1.363765059
6,aline,BubbleSort,Arranjos Desordenados,1000,0.502852713,999000,759597,1.381586473
7,aline,BubbleSort,Arranjos Ordenados (DESC),10,6.696399999994718e-05,90,135,1.595207626
8,aline,BubbleSort,Arranjos Quase Ordenados (1),100,0.0014667349999997192,9900,513,3.37892574
9,aline,BubbleSort,Arranjos Quase Ordenados (1),10,4.178000000010229e-05,90,27,2.535788303
10,aline,BubbleSort,Arranjos Quase Ordenados (2),1000,1.5522714970000002,999000,17049,1.967986048
11,aline,BubbleSort,Arranjos Quase Ordenados (2),10,7.113399999991721e-05,90,84,1.620950552
12,aline,BubbleSort,Arranjos Quase Ordenados (2),100,0.0014204349999999977,9900,1614,1.698675313
13,aline,BubbleSort,Arranjos Quase Ordenados (1),1000,4.216198112000001,999000,5373,3.368482121
14,aline,BubbleSort,Arranjos Ordenados (ASC),10000,0.004744933999999867,9999,0,1.35766315
15,aline,BubbleSort,Arranjos Ordenados (ASC),100000,0.01711908399999995,99999,0,1.364424858
16,aline,BubbleSort,Arranjos Ordenados (DESC),1000,4.620450488,999000,1498500,3.005314985
17,aline,BubbleSort,Arranjos Quase Ordenados (2),10000,173.60920356900002,99990000,171399,2.864114871
18,aline,BubbleSort,Arranjos Quase Ordenados (1),10000,176.643551093,99990000,53973,1.532819344
19,aline,BubbleSort,Arranjos Desordenados,10000,231.184049101,99990000,74802504,1.393957265
20,aline,BubbleSort,Arranjos Ordenados (DESC),10000,236.427923178,99990000,149985000,2.180681184
21,aline,BubbleSort,Arranjos Quase Ordenados (2),100000,8522.722575099,9999900000,1714899,1.770747303
22,aline,BubbleSort,Arranjos Quase Ordenados (1),100000,8659.414608692001,9999900000,539973,1.67786679
23,aline,BubbleSort,Arranjos Desordenados,100000,10478.114448059001,9999900000,7517633190,2.622857391
24,aline,BubbleSort,Arranjos Ordenados (DESC),100000,10762.55903189,9999900000,14999850000,1.962683231
0,aline,HeapSort,Arranjos Desordenados,10,6.828400000014057e-05,38,84,2.413231927
1,aline,HeapSort,Arranjos Ordenados (ASC),10,9.049199999999757e-05,41,90,2.423586519
2,aline,HeapSort,Arranjos Ordenados (ASC),10000,0.23349881400000028,244460,395868,2.390847853
3,aline,HeapSort,Arranjos Ordenados (ASC),100,0.0012219930000001433,1081,1920,2.632169007
4,aline,HeapSort,Arranjos Quase Ordenados (1),10,8.557899999983576e-05,41,87,2.675367119
5,aline,HeapSort,Arranjos Ordenados (DESC),10000,0.467586211,226682,350088,2.670298733
6,aline,HeapSort,Arranjos Quase Ordenados (2),10,4.663399999982332e-05,39,78,3.423406544
7,aline,HeapSort,Arranjos Ordenados (DESC),100,0.00050876699999991,944,1548,3.595785425
8,aline,HeapSort,Arranjos Quase Ordenados (1),1000,0.05338146999999971,17578,29205,4.178203521
9,aline,HeapSort,Arranjos Ordenados (DESC),1000,0.01738244600000005,15965,24948,2.647762007
10,aline,HeapSort,Arranjos Quase Ordenados (1),10000,0.3009634090000004,244626,394881,5.052795184
11,aline,HeapSort,Arranjos Desordenados,100,0.0005739930000001614,1023,1746,2.535773711
12,aline,HeapSort,Arranjos Quase Ordenados (1),100,0.00047751299999987395,1089,1917,2.72701655
13,aline,HeapSort,Arranjos Quase Ordenados (2),100,0.00046308900000013864,1089,1902,4.599194964
14,aline,HeapSort,Arranjos Desordenados,10000,0.9146399139999994,235302,372459,4.640633119
15,aline,HeapSort,Arranjos Ordenados (DESC),10,7.994300000024879e-05,35,63,2.706423599
16,aline,HeapSort,Arranjos Ordenados (ASC),1000,0.02822606400000005,17583,29124,2.603801413
17,aline,HeapSort,Arranjos Desordenados,1000,0.03833681600000016,16858,27195,2.530507738
18,aline,HeapSort,Arranjos Quase Ordenados (2),10000,0.3107601650000005,244979,395151,4.255208934
19,aline,HeapSort,Arranjos Quase Ordenados (2),1000,0.033833611000000374,17620,29175,3.392233228
20,aline,HeapSort,Arranjos Ordenados (ASC),100000,9.333505098,3112517,4952562,2.441713729
21,aline,HeapSort,Arranjos Desordenados,100000,13.794742458000002,3019436,4724556,2.752654378
22,aline,HeapSort,Arranjos Ordenados (DESC),100000,16.858136778000002,2926640,4492302,2.768129434
23,aline,HeapSort,Arranjos Quase Ordenados (2),100000,16.307614527,3119571,4955013,5.379922356
24,aline,HeapSort,Arranjos Quase Ordenados (1),100000,17.378483586999998,3115263,4954293,5.577839851
25,aline,HeapSort,Arranjos Ordenados (DESC),1000000,111.04479500400001,36001436,55000224,3.407824873
26,aline,HeapSort,Arranjos Quase Ordenados (2),1000000,103.807950415,37763462,59395209,11.999334886
27,aline,HeapSort,Arranjos Ordenados (ASC),1000000,112.51072075600001,37692069,59363376,5.431889128
28,aline,HeapSort,Arranjos Quase Ordenados (1),1000000,114.693231692,37743196,59420805,4.24475335
29,aline,HeapSort,Arranjos Desordenados,1000000,114.54288773,36794055,57146538,6.704108462
0,aline,MergeSort,Arranjos Ordenados (ASC),10,0.00010490400000007227,15,34,2.375371285
1,aline,MergeSort,Arranjos Ordenados (ASC),1000,0.009537683000000019,4932,9976,2.376357943
2,aline,MergeSort,Arranjos Ordenados (ASC),100,0.00023748999999995135,316,672,2.385942205
3,aline,MergeSort,Arranjos Desordenados,100,0.0003677579999998848,540,672,2.448707311
4,aline,MergeSort,Arranjos Desordenados,10,2.1484999999987764e-05,24,34,2.454458656
5,aline,MergeSort,Arranjos Ordenados (DESC),1000,0.004246595999999769,5044,9976,2.713007633
6,aline,MergeSort,Arranjos Ordenados (DESC),10000,0.22611605099999998,69008,133616,2.513582678
7,aline,MergeSort,Arranjos Quase Ordenados (1),10,0.00011631700000025447,21,34,2.877889629
8,aline,MergeSort,Arranjos Ordenados (DESC),10,5.2730000000167365e-05,19,34,3.027817453
9,aline,MergeSort,Arranjos Ordenados (DESC),100,0.00025793500000004244,356,672,3.872488034
10,aline,MergeSort,Arranjos Quase Ordenados (1),10000,0.17860127000000015,70744,133616,3.022566421
11,aline,MergeSort,Arranjos Ordenados (ASC),100000,2.3225847149999996,815024,1668928,2.386280129
12,aline,MergeSort,Arranjos Desordenados,10000,0.18443985899999982,120515,133616,2.661473705
13,aline,MergeSort,Arranjos Quase Ordenados (2),10,3.976700000007938e-05,21,34,3.762816598
14,aline,MergeSort,Arranjos Desordenados,100000,4.143144024,1536280,1668928,3.053960617
15,aline,MergeSort,Arranjos Ordenados (ASC),10000,0.12195911100000023,64608,133616,2.391547111
16,aline,MergeSort,Arranjos Quase Ordenados (1),1000,0.0032033610000006263,5512,9976,8.541136133
17,aline,MergeSort,Arranjos Desordenados,1000,0.00432398299999992,8717,9976,2.600552282
18,aline,MergeSort,Arranjos Quase Ordenados (1),100000,3.694584859,874907,1668928,5.657862933
19,aline,MergeSort,Arranjos Ordenados (DESC),100000,6.0598223330000005,853904,1668928,3.079661874
20,aline,MergeSort,Arranjos Quase Ordenados (2),100,0.00032084299999990407,417,672,3.183755499
21,aline,MergeSort,Arranjos Quase Ordenados (1),100,0.0006857709999996686,381,672,4.709029302
22,aline,MergeSort,Arranjos Quase Ordenados (2),10000,0.731399605,73582,133616,5.234811701
23,aline,MergeSort,Arranjos Quase Ordenados (2),1000,0.004733351999999691,5737,9976,4.981507649
24,aline,MergeSort,Arranjos Quase Ordenados (2),100000,4.606179456,902447,1668928,3.934629808
25,aline,MergeSort,Arranjos Ordenados (DESC),1000000,37.17630307899999,10066432,19951424,7.250842103
26,aline,MergeSort,Arranjos Ordenados (ASC),1000000,44.218762387999995,9884992,19951424,2.475200884
27,aline,MergeSort,Arranjos Quase Ordenados (1),1000000,39.834568474,10468686,19951424,9.587202208
28,aline,MergeSort,Arranjos Quase Ordenados (2),1000000,42.843574127,10691336,19951424,6.970226842
29,aline,MergeSort,Arranjos Desordenados,1000000,46.499063906,18674229,19951424,5.240005333
0,aline,QuickSort,Arranjos Ordenados (ASC),100,0.0005816210000002542,825,480,2.347073933
1,aline,QuickSort,Arranjos Desordenados,1000,0.0034108159999997056,17777,10796,2.40965789
2,aline,QuickSort,Arranjos Ordenados (ASC),10000,0.13828468300000019,180052,113631,2.368148565
3,aline,QuickSort,Arranjos Desordenados,10,7.793300000003e-05,46,25,2.439401523
4,aline,QuickSort,Arranjos Ordenados (DESC),10,5.681399999968306e-05,43,19,2.506519744
5,aline,QuickSort,Arranjos Ordenados (ASC),1000,0.0039686009999999605,12947,7987,2.348279531
6,aline,QuickSort,Arranjos Ordenados (DESC),1000,0.003003715999999823,13058,7987,2.590606803
7,aline,QuickSort,Arranjos Quase Ordenados (1),100,0.00026922099999993065,865,495,2.627287089
8,aline,QuickSort,Arranjos Desordenados,10000,0.09436410800000017,241968,152896,2.404470091
9,aline,QuickSort,Arranjos Ordenados (ASC),10,9.521300000026045e-05,38,19,2.352384538
10,aline,QuickSort,Arranjos Ordenados (DESC),100,0.0003285260000001067,867,480,2.471071703
11,aline,QuickSort,Arranjos Quase Ordenados (1),10,5.1437000000209565e-05,40,19,3.759080036
12,aline,QuickSort,Arranjos Quase Ordenados (2),100,0.00025417199999999696,913,537,3.610988842
13,aline,QuickSort,Arranjos Quase Ordenados (1),1000,0.00392897300000028,13558,8188,2.930045033
14,aline,QuickSort,Arranjos Ordenados (ASC),100000,2.1336436030000003,2315046,1468946,2.35252997
15,aline,QuickSort,Arranjos Ordenados (DESC),10000,0.14920874400000006,184457,113631,2.53791372
16,aline,QuickSort,Arranjos Quase Ordenados (2),10000,1.1896283089999997,191744,119011,3.816078848
17,aline,QuickSort,Arranjos Quase Ordenados (2),1000,0.0028115049999994923,14125,8557,5.954679814
18,aline,QuickSort,Arranjos Desordenados,100,0.00022574399999975014,1044,644,2.465458362
19,aline,QuickSort,Arranjos Quase Ordenados (2),10,6.021999999994421e-05,47,25,8.81941799
20,aline,QuickSort,Arranjos Ordenados (DESC),100000,6.092795901,2353932,1468946,3.605674284
21,aline,QuickSort,Arranjos Quase Ordenados (2),100000,5.968256028,2413542,1522190,4.676733303
22,aline,QuickSort,Arranjos Desordenados,100000,8.683501318000001,3345988,2145495,2.699444553
23,aline,QuickSort,Arranjos Quase Ordenados (1),100000,7.999984951,2355307,1482612,2.793793105
24,aline,QuickSort,Arranjos Quase Ordenados (1),10000,0.733928251,186495,114887,2.909112234
25,aline,QuickSort,Arranjos Ordenados (ASC),1000000,38.321852263,27885018,17951445,2.522074256
26,aline,QuickSort,Arranjos Ordenados (DESC),1000000,39.360299985,28066465,17951445,2.694280237
27,aline,QuickSort,Arranjos Quase Ordenados (2),1000000,36.477589335,29128923,18532920,5.688691308
28,aline,QuickSort,Arranjos Quase Ordenados (1),1000000,39.612644175,28515170,18145357,6.20481168
29,aline,QuickSort,Arranjos Desordenados,1000000,41.977431782000004,36921426,24007781,5.184113458
0,aline,SmoothSort,Arranjos Ordenados (ASC),10,0.000249506000000288,25,0,2.4333373
1,aline,SmoothSort,Arranjos Ordenados (ASC),100,0.0002556669999997929,365,0,2.447868408
2,aline,SmoothSort,Arranjos Ordenados (ASC),10000,0.04219617600000003,39935,0,2.442377012
3,aline,SmoothSort,Arranjos Desordenados,100,0.0007574360000002223,1959,2034,2.690732427
4,aline,SmoothSort,Arranjos Ordenados (DESC),1000,0.05158321699999968,30836,32124,2.654577268
5,aline,SmoothSort,Arranjos Quase Ordenados (1),100,0.0004905560000003639,714,513,2.82136922
6,aline,SmoothSort,Arranjos Desordenados,10,9.251799999976384e-05,51,51,2.515649476
7,aline,SmoothSort,Arranjos Quase Ordenados (1),10,0.00012119799999998904,41,27,2.836742915
8,aline,SmoothSort,Arranjos Ordenados (DESC),10,9.323900000035579e-05,73,87,2.790688714
9,aline,SmoothSort,Arranjos Desordenados,10000,0.6544107870000002,467496,493176,2.639096558
10,aline,SmoothSort,Arranjos Ordenados (ASC),1000,0.008184073999999875,3955,0,2.434041393
11,aline,SmoothSort,Arranjos Quase Ordenados (2),10000,0.20583423300000003,133567,116535,3.312175277
12,aline,SmoothSort,Arranjos Quase Ordenados (1),1000,0.005014400999999946,7810,5373,3.322597677
13,aline,SmoothSort,Arranjos Ordenados (ASC),100000,1.179545261,399927,0,2.45858358
14,aline,SmoothSort,Arranjos Quase Ordenados (2),10,0.00011037800000002207,65,66,2.974009851
15,aline,SmoothSort,Arranjos Ordenados (DESC),100,0.0011051970000002243,2022,2130,2.916375945
16,aline,SmoothSort,Arranjos Quase Ordenados (2),1000,0.005061708000000387,13198,11565,5.109234464
17,aline,SmoothSort,Arranjos Ordenados (DESC),10000,1.1393694660000002,389969,409464,3.088372963
18,aline,SmoothSort,Arranjos Quase Ordenados (2),100000,4.728473638999999,1337658,1165443,5.041285903
19,aline,SmoothSort,Arranjos Quase Ordenados (1),100000,4.778413587999999,790705,539973,3.523427946
20,aline,SmoothSort,Arranjos Desordenados,1000,0.03122772600000001,33681,35157,2.7793923
21,aline,SmoothSort,Arranjos Quase Ordenados (2),100,0.0008187520000006998,1181,1086,10.338022846
22,aline,SmoothSort,Arranjos Quase Ordenados (1),10000,0.10480759500000003,78976,53973,3.260542497
23,aline,SmoothSort,Arranjos Ordenados (DESC),100000,16.927992217,4624134,4890198,3.108883995
24,aline,SmoothSort,Arranjos Ordenados (ASC),1000000,20.729810054999998,3999897,0,2.484664107
25,aline,SmoothSort,Arranjos Desordenados,100000,21.593514856,5982167,6364920,3.632759226
26,aline,SmoothSort,Arranjos Quase Ordenados (1),1000000,26.531911382,7908707,5399973,3.518120871
27,aline,SmoothSort,Arranjos Quase Ordenados (2),1000000,31.140617883999997,13378159,11651553,5.129931314
28,aline,SmoothSort,Arranjos Ordenados (DESC),1000000,69.794620761,53560653,57056496,4.031857598
29,aline,SmoothSort,Arranjos Desordenados,1000000,70.12111387,72861364,78014739,9.389036259
